229.204,-108.055,707.798,-75.158,-74.685,-131.106
229.204,-138.079,707.798,-75.158,-74.685,-131.106
311.647,-138.079,707.798,-75.158,-74.685,-131.106
250.525,-228.346,707.798,-97.342,-74.685,-131.106
250.525,-228.346,798.113,-94.342,-74.685,-131.106
300.161,-118.177,733.178,-94.342,-74.685,-131.106
300.161,-24.352,733.178,-94.342,-74.685,-131.106
385.323,-240.238,681.5,-119.455,-72.404,-111.695
239.504,-239.504,660.174,-45,-80,180
291.833,-291.833,688.064,-45,-81.362,180
309.465,-273.137,610.818,-41.432,-81.573,-180
309.098,-272.813,639.215,138.568,-79.59,0
309.598,-274.829,596.952,138.568,-79.590,0
326.361,-274.829,609.566,-85.309,-79.260,-135.497
285.573,-348.781,715.93,-146.01,-76.107,-82.046

